tw_id,tw_title,production_country,tw_first_release_date
21709,偉大的印度廚房,印度,2022-07-08
20903,天堂電影院,印度,2022-04-15
23338,鬼搖靈2：陰語陣陣,印尼,2022-12-23
21307,娜娜：逝水年華,印尼,2022-07-08
20652,懾影屍,匈牙利,2022-06-02
20962,忌妒的藍圖,匈牙利,2022-06-24
20952,親愛的母親,匈牙利,2022-07-01
20191,天菜特警,冰島,2021-12-10
20728,何處是我朋友的家？,伊朗,2022-04-15
21021,櫻桃的滋味 數位修復版,伊朗,2022-05-20
20804,橄欖樹下的情人,伊朗,2022-04-22
20758,生生長流,伊朗,2022-04-15
20632,我不是英雄,伊朗,2022-05-13
21032,風帶著我來 數位修復版,伊朗,2022-05-20
22196,贖罪風暴,伊朗,2022-10-07
4035,禁止下錨+海中網+妹妹+庭中有奇樹,中華民國,2022-04-23
20740,沉默呼聲,加拿大,2022-08-12
20201,麥特與麥斯,加拿大,2021-12-30
21838,未來犯罪,加拿大,2022-08-05
19092,親情解鎖,加拿大,2021-09-17
20386,他奶奶的變裝皇后,加拿大,2022-01-21
20683,藥命回憶,加拿大,2022-04-29
22307,怪胎英雄：奇克探險記,比利時,2022-09-23
17368,鬼滅之刃劇場版 無限列車篇,日本,2020-10-30
20591,劇場版 咒術迴戰 0,日本,2022-02-24
21991,航海王劇場版 : 紅髮歌姬,日本,2022-08-13
21383,名偵探柯南 萬聖節的新娘,日本,2022-06-30
19722,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調 ,日本,2021-11-12
22751,刀劍神域劇場版 –Progressive- 陰沉薄暮的詼諧曲,日本,2022-11-01
21864,蠟筆小新：幽靈忍者珍風傳,日本,2022-08-04
17110,紫羅蘭永恆花園電影版,日本,2020-09-30
13730,普羅米亞,日本,2019-08-16
19157,蠟筆小新：謎案！天下春日部學院的怪奇事件,日本,2021-09-24
23197,關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,日本,2022-12-06
21385,餘命10年,日本,2022-06-10
20610,神隱少女(日文版),日本,2022-09-08
19389,我的英雄學院劇場版：世界英雄任務,日本,2021-10-29
21718,角落小夥伴電影版：藍色月夜的魔法之子(日語版),日本,2022-07-22
9977,龍貓,日本,2021-01-29
23148,通往夏天的隧道，再見的出口,日本,2022-12-02
22194,七龍珠超：超級英雄(日文版),日本,2022-09-03
